RespondentID,SiteID,StartDate,EndDate,1) Do more volunteer work,2) See friends more often/make new friends,3) Take better care of my health,4) Eat meals that are better for me,5) Have more energy,6) Feel happier or more satisfied with my life,7) Have something to look forward to each day,8) Know where to ask if I need a serv,9) Feel more able to stay independent,10) Feel that the senior center has,11) Learn new things,12) Have learned about services and benefits,13) Am more physically active,14) Would recommend the s,15) Please tell us how part,16) I participate in the followin,17a) American Indian or Alaska Native,"17b) Asian, Asian-American","17c) Black, African-American, Other African",17d) Hawaiian Native or Pacific Islander,"17e) Hispanic, Latino",17f) White or Caucasian,17g) Other,18) Zip Code,19) Annual Income
WS001,West Seattle,01/01/2018,03/31/2018,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,"Made lifelong friends, learn new things","ukes, special events like workships, fairs, dances",0,1,0,0,0,0,0,98126,Moderate
WS003,West Seattle,01/01/2018,03/31/2018,Almost Never,Sometimes,Sometimes,Not Applicable,Sometimes,Sometimes,Most of the time,Almost Never,Sometimes,Most of the time,Most of the time,Most of the time,Sometimes,Most of the time,Encourages music in my life,Ukulele Monday,0,0,0,0,0,1,0,98136,Above Moderate
WS004,West Seattle,01/01/2018,03/31/2018,,Most of the time,,,,Most of the time,Most of the time,,,Most of the time,Most of the time,Most of the time,,Most of the time,I love playing with the ukes!,ukulele play along,0,0,0,0,0,1,0,98166,Unknown
WS005,West Seattle,01/01/2018,03/31/2018,Not Applicable,Sometimes,Sometimes,Not Applicable,Sometimes,Most of the time,Most of the time,Not Applicable,Most of the time,Most of the time,Most of the time,Not Applicable,Most of the time,Most of the time,I learned how to play ukulele with others and have a fun time,"ukulele group ""The ukes""",0,0,0,0,0,1,0,98198,Low
WS006,West Seattle,01/01/2018,03/31/2018,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Made friends,"ukulele, bingo, dinner",0,0,0,0,0,1,0,98136,Above Moderate
WS007,West Seattle,01/01/2018,03/31/2018,Most of the time,Sometimes,Sometimes,Sometimes,Sometimes,Most of the time,Most of the time,Sometimes,Sometimes,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,I look forward to the days I teach a German class advanced and beginners,"EnhanceFitness, book club, teach German",0,0,0,0,0,1,0,98136,Low
WS008,West Seattle,01/01/2018,03/31/2018,Not Applicable,Most of the time,Not Applicable,Not Applicable,Not Applicable,Most of the time,Sometimes,Not Applicable,Not Applicable,Most of the time,Most of the time,Most of the time,Not Applicable,Most of the time,,,0,0,0,0,0,1,0,98116,Unknown
WS009,West Seattle,01/01/2018,03/31/2018,,Sometimes,,,Most of the time,Most of the time,Sometimes,Not Applicable,,Most of the time,Most of the time,,,Most of the time,,"ukulele, dance class, library",0,0,0,0,0,1,0,98146,Very Low
WS010,West Seattle,01/01/2018,03/31/2018,Sometimes,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Great Friends,cribbage,1,0,0,0,0,0,0,98136,Above Moderate
WS011,West Seattle,01/01/2018,03/31/2018,Sometimes,Sometimes,Most of the time,Sometimes,Sometimes,Most of the time,Sometimes,Sometimes,Not Applicable,Most of the time,Sometimes,Sometimes,Not Applicable,Most of the time,Fun and Friends,"Cribbage, fundraisers",0,0,0,0,0,1,0,98116,Above Moderate
WS012,West Seattle,01/01/2018,03/31/2018,Sometimes,Most of the time,Not Applicable,Most of the time,Sometimes,Most of the time,Most of the time,Most of the time,Not Applicable,Most of the time,Sometimes,Sometimes,Sometimes,Most of the time,,lunch,0,0,0,0,0,1,0,98118,Low
WS013,West Seattle,01/01/2018,03/31/2018,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,It has helped to begin to enjoy life everyday and to plan for a great future,,0,0,0,0,1,0,0,98188,Above Moderate
WS014,West Seattle,01/01/2018,03/31/2018,Sometimes,Most of the time,Sometimes,Most of the time,Most of the time,Most of the time,Sometimes,Not Applicable,Not Applicable,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,"Avoid depression, feel good","Recreation, socialization, social services, meals",0,0,0,0,1,0,0,98118,Low
WS015,West Seattle,01/01/2018,03/31/2018,Sometimes,Most of the time,Most of the time,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Most of the time,Most of the time,Most of the time,Sometimes,Sometimes,Most of the time,"I get to spend time with people, I make new friends","Junction Diner, massage",0,0,0,0,0,1,0,98116,Low
WS016,West Seattle,01/01/2018,03/31/2018,Almost Never,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Sometimes,Sometimes,Most of the time,the above,,1,0,0,0,0,0,0,98116,Low
WS017,West Seattle,01/01/2018,03/31/2018,Not Applicable,Sometimes,Not Applicable,Most of the time,Most of the time,Sometimes,Most of the time,Not Applicable,Most of the time,Most of the time,Sometimes,Sometimes,Almost Never,Most of the time,,,0,0,1,0,0,0,0,98116,Very Low
WS018,West Seattle,01/01/2018,03/31/2018,Most of the time,Most of the time,Most of the time,Most of the time,Sometimes,Sometimes,Sometimes,Almost Never,Almost Never,Most of the time,Sometimes,Sometimes,Most of the time,Sometimes,Consistently good food and activities,"Exercise, eating, socializing",0,0,0,0,0,1,0,98106,Moderate
WS019,West Seattle,01/01/2018,03/31/2018,Sometimes,Sometimes,Most of the time,Most of the time,Sometimes,Sometimes,Sometimes,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Sometimes,Most of the time,"Since joining the center I have met new people, attended several events, book rentals, free income tax prep","Weekly lunches, rainbow bingo, special events, birthday lunch Tuesdays",0,0,0,0,0,1,0,98106,Low
WS020,West Seattle,01/01/2018,03/31/2018,Most of the time,Sometimes,Sometimes,Sometimes,Sometimes,Most of the time,Sometimes,Most of the time,Not Applicable,Most of the time,Most of the time,Most of the time,Sometimes,Most of the time,,,0,0,0,0,0,1,0,98126,Moderate
WS021,West Seattle,01/01/2018,03/31/2018,Most of the time,Sometimes,Sometimes,Sometimes,Most of the time,Most of the time,Most of the time,Almost Never,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,,"Volunteer, cribbage",0,0,0,0,0,1,0,98136,Above Moderate
WS022,West Seattle,01/01/2018,03/31/2018,Sometimes,Sometimes,Sometimes,Almost Never,Almost Never,Sometimes,Almost Never,Almost Never,Almost Never,Most of the time,Most of the time,Almost Never,Almost Never,Most of the time,New friends,Cribbage and some events,0,0,0,0,0,1,0,98116,Unknown
WS023,West Seattle,01/01/2018,03/31/2018,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Most of the time,Sometimes,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Sometimes,Most of the time,"Love the class, the book group, and the oatmeal cookies! I look forward to both plus I know more resources.","book group, history class, computer class, driving class, etc.",0,0,0,0,0,1,0,98126,Moderate
WS024,West Seattle,01/01/2018,03/31/2018,Almost Never,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Mostly as as a result of the reading group,"reading group, meals",0,0,0,0,0,1,0,98116,Above Moderate
WS030,West Seattle,01/01/2018,03/31/2018,Not Applicable,Sometimes,Most of the time,Most of the time,Sometimes,Most of the time,Sometimes,Most of the time,Most of the time,Most of the time,Most of the time,Not Applicable,Sometimes,Most of the time,"Recently moved to Seattle, it gives me an anchor place to meet others","Reading group, weight watchers (just getting started)",0,0,0,0,0,1,0,98116,Low
WS031,West Seattle,01/01/2018,03/31/2018,Almost Never,Almost Never,Almost Never,Sometimes,Almost Never,Sometimes,Sometimes,Most of the time,Sometimes,Almost Never,Sometimes,Sometimes,Almost Never,Most of the time,I get out of the house more,Aging well,0,0,0,0,0,0,0,98116,Moderate
WS032,West Seattle,01/01/2018,03/31/2018,Sometimes,Most of the time,Sometimes,Not Applicable,Sometimes,Sometimes,Sometimes,Most of the time,Almost Never,Most of the time,Sometimes,Sometimes,Almost Never,Most of the time,See above,"Healthy aging class, library, cafe",0,0,0,0,0,1,0,98116,Moderate
WS033,West Seattle,01/01/2018,03/31/2018,Not Applicable,Most of the time,Not Applicable,Not Applicable,Not Applicable,Most of the time,Not Applicable,Not Applicable,Not Applicable,Most of the time,Most of the time,Most of the time,Not Applicable,Most of the time,It has added another thing to look forward to,Aging well,0,0,0,0,0,1,0,98106,Moderate
WS034,West Seattle,01/01/2018,03/31/2018,,Sometimes,,,Sometimes,Sometimes,Sometimes,Sometimes,,Sometimes,Sometimes,Sometimes,,Most of the time,Good classes and information,"Group on aging, classes",0,0,0,0,0,1,0,98136,Above Moderate
WS035,West Seattle,01/01/2018,03/31/2018,Almost Never,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Almost Never,Almost Never,Sometimes,Almost Never,Almost Never,Sometimes,Sometimes,,"Lunch, aging support group",0,0,0,0,0,1,0,98116,Low
WS036,West Seattle,01/01/2018,03/31/2018,Not Applicable,,Most of the time,Not Applicable,Not Applicable,Sometimes,Sometimes,Sometimes,Most of the time,Most of the time,Most of the time,Sometimes,Most of the time,Most of the time,,"Aging well, cafe once in a while",0,0,0,0,0,1,0,98126,Moderate
WS037,West Seattle,01/01/2018,03/31/2018,Not Applicable,,Most of the time,Most of the time,Sometimes,Most of the time,Sometimes,Sometimes,Most of the time,Sometimes,Most of the time,Most of the time,Most of the time,Most of the time,Connections with many new friends and healthy living,"aging group, films, exercising, lunches",0,0,0,0,0,1,0,98146,Moderate
WS038,West Seattle,01/01/2018,03/31/2018,,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,More active,,0,0,1,0,0,0,0,,Unknown
WS039,West Seattle,01/01/2018,03/31/2018,Sometimes,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,I am now practicing and performing with the ukulele group,"Ukulele group, acrylic art class, occasional lunch",0,0,0,0,0,1,0,98116,Above Moderate
WS040,West Seattle,01/01/2018,03/31/2018,Sometimes,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,,Almost Never,Most of the time,Most of the time,Most of the time,Sometimes,Most of the time,Most of the time,Good reason to get out and socialize,"ukulele, movies, health",0,0,0,0,0,1,0,98106,Moderate
WS041,West Seattle,01/01/2018,03/31/2018,Sometimes,Most of the time,Most of the time,Not Applicable,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,I have a song in my mind every day. I have met many nice people.,"Ukulele, special events",0,0,0,0,0,1,0,98126,Above Moderate
WS042,West Seattle,01/01/2018,03/31/2018,Most of the time,Most of the time,Sometimes,Sometimes,Most of the time,Most of the time,Most of the time,Sometimes,Most of the time,Most of the time,Most of the time,Sometimes,Most of the time,Most of the time,"I fainaly have musiv back in my life, lots of positives like meeting new people",dance and ukulele group,0,0,0,0,0,1,0,98116,Moderate
WS043,West Seattle,01/01/2018,03/31/2018,Sometimes,Most of the time,Most of the time,Sometimes,Sometimes,Most of the time,Most of the time,Almost Never,Sometimes,Most of the time,Most of the time,Sometimes,Sometimes,Most of the time,Learned new activities and songs. Have a well balanced healthy meal at the center,ukulele play along,0,0,0,0,0,1,0,98106,Above Moderate
WS044,West Seattle,01/01/2018,03/31/2018,Not Applicable,Most of the time,Not Applicable,Not Applicable,Most of the time,Most of the time,Most of the time,Not Applicable,Not Applicable,Most of the time,Most of the time,Sometimes,Not Applicable,Most of the time,,"Uke, lunches",0,1,0,0,0,0,0,98168,Low
WS045,West Seattle,01/01/2018,03/31/2018,Most of the time,Most of the time,Sometimes,Sometimes,Not Applicable,Sometimes,Most of the time,Not Applicable,Most of the time,Most of the time,Not Applicable,Not Applicable,Not Applicable,Sometimes,I have learned to play the ukulele in the key of E,Ukulele,0,0,0,0,0,0,0,98116,Moderate
WS046,West Seattle,01/01/2018,03/31/2018,Almost Never,Most of the time,,Sometimes,Sometimes,Sometimes,Most of the time,Almost Never,Most of the time,Most of the time,Most of the time,Most of the time,Sometimes,Most of the time,Meet new friends,,0,0,0,0,0,1,0,,Low
WS047,West Seattle,01/01/2018,03/31/2018,Not Applicable,Almost Never,Sometimes,Most of the time,Most of the time,Most of the time,Sometimes,Almost Never,Sometimes,Most of the time,Almost Never,Sometimes,Sometimes,Most of the time,,,0,0,0,0,0,1,0,98126,Above Moderate
WS048,West Seattle,01/01/2018,03/31/2018,Not Applicable,Most of the time,Most of the time,Not Applicable,Not Applicable,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Almost Never,Most of the time,I see people I love. I have volunteer helpers through SW program,Low vision group - westside friend volunteer,0,0,0,0,1,0,0,98116,Moderate
WS049,West Seattle,01/01/2018,03/31/2018,Sometimes,Most of the time,Most of the time,Most of the time,Sometimes,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Sometimes,Sometimes,Sometimes,Most of the time,"Meet more people, better food",Bingo,0,0,0,0,0,1,0,98126,Low
WS050,West Seattle,01/01/2018,03/31/2018,Not Applicable,Sometimes,Not Applicable,Not Applicable,Not Applicable,Sometimes,Sometimes,Almost Never,Not Applicable,Sometimes,Sometimes,Almost Never,Not Applicable,Sometimes,Helps with my study of Spanish,Spanish class,0,0,0,0,0,1,0,98126,Moderate
WS051,West Seattle,01/01/2018,03/31/2018,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Almost Never,Most of the time,Most of the time,Sometimes,Most of the time,Most of the time,Most of the time,"New friends, new activities","Volunteer at stop n' shop, EnhanceFitness",0,0,0,0,0,1,0,98116,Moderate
WS052,West Seattle,01/01/2018,03/31/2018,Sometimes,Sometimes,Sometimes,Most of the time,Most of the time,Most of the time,Sometimes,Sometimes,Sometimes,Most of the time,Sometimes,Almost Never,Sometimes,Most of the time,,mahjong and cribbage,0,0,0,0,0,1,0,98116,Low
WS053,West Seattle,01/01/2018,03/31/2018,Almost Never,Sometimes,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Most of the time,Not Applicable,Not Applicable,Most of the time,Not Applicable,Not Applicable,Not Applicable,Most of the time,,Mahjong,1,0,0,0,0,1,0,98116,Low
WS054,West Seattle,01/01/2018,03/31/2018,Not Applicable,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Not Applicable,Not Applicable,Most of the time,Most of the time,Sometimes,Not Applicable,Most of the time,"Made new friends, have fun",mahjong,0,0,0,0,0,1,0,98116,Very Low
WS055,West Seattle,01/01/2018,03/31/2018,Not Applicable,Most of the time,Not Applicable,Not Applicable,,Sometimes,Sometimes,Not Applicable,Not Applicable,Most of the time,Most of the time,Sometimes,Not Applicable,Most of the time,,"Mahjong, Cribbage",0,0,0,0,0,1,0,98126,Unknown
WS057,West Seattle,01/01/2018,03/31/2018,,Most of the time,Sometimes,Most of the time,Most of the time,Most of the time,Sometimes,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Welcome and fun!,"Aging well, history class",0,0,0,0,0,1,0,98136,Above Moderate
WS058,West Seattle,01/01/2018,03/31/2018,,Sometimes,Most of the time,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Not Applicable,Sometimes,Sometimes,Sometimes,Sometimes,Most of the time,New interests and sense of community,"EnhanceFitness, writers group, occasional meals",0,0,0,0,0,1,0,98116,Very Low
WS059,West Seattle,01/01/2018,03/31/2018,Most of the time,Most of the time,Most of the time,Not Applicable,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Sometimes,Most of the time,Expanded my social connections to my community and other people. Made friends,"West Seattle timebank, senior resource fair, community events",0,0,0,0,0,1,0,98126,Above Moderate
WS060,West Seattle,01/01/2018,03/31/2018,Not Applicable,Sometimes,Most of the time,Not Applicable,Most of the time,Most of the time,Not Applicable,Most of the time,Most of the time,Most of the time,Most of the time,Sometimes,Most of the time,Most of the time,,"EnhanceFitness, occasional programs",0,0,0,0,0,1,0,98116,Moderate
WS061,West Seattle,01/01/2018,03/31/2018,Not Applicable,Sometimes,Most of the time,Not Applicable,Most of the time,Most of the time,Most of the time,Sometimes,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Made me healthier and happier,"EnhanceFitness, classes, benefits",0,0,0,0,0,1,0,98116,Low
WS062,West Seattle,01/01/2018,03/31/2018,Almost Never,Most of the time,Most of the time,Sometimes,Most of the time,Most of the time,Sometimes,Sometimes,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Helped with depression,"meals, EnhanceFitness",0,0,0,0,0,1,0,98116,Moderate
WS063,West Seattle,01/01/2018,03/31/2018,Almost Never,Most of the time,Most of the time,Almost Never,Most of the time,Most of the time,Most of the time,Almost Never,Most of the time,Most of the time,Most of the time,Sometimes,Most of the time,Most of the time,"I have met new people, moving in from another state this has been invaluable",exercise class,0,0,0,0,0,1,0,98126,Above Moderate
WS064,West Seattle,01/01/2018,03/31/2018,Almost Never,Most of the time,Most of the time,Sometimes,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,,Most of the time,Most of the time,Most of the time,,"Exercise, sometimes others",0,0,0,0,0,1,0,98136,Low
WS065,West Seattle,01/01/2018,03/31/2018,,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Sometimes,Sometimes,,Most of the time,Most of the time,Sometimes,Most of the time,Most of the time,,,0,0,0,0,0,1,0,98116,Low
WS068,West Seattle,01/01/2018,03/31/2018,Most of the time,Sometimes,,,,,,,,Sometimes,,,,,Talking /visiting with members has increased my knowledge of West Seattle and its history,Working  in the Stop n' Shop,0,0,1,0,0,0,0,98126,Very Low
WS069,West Seattle,01/01/2018,03/31/2018,,Most of the time,,Most of the time,Most of the time,Most of the time,,Sometimes,Most of the time,Sometimes,Sometimes,Most of the time,Most of the time,Most of the time,"It has helped me thrive, be more social and be more creative","food and nutrition, computer class",0,0,1,0,0,0,0,98116,Very Low
WS070,West Seattle,01/01/2018,03/31/2018,Not Applicable,Most of the time,Not Applicable,Almost Never,Not Applicable,Most of the time,Not Applicable,Almost Never,Not Applicable,Sometimes,Most of the time,Sometimes,Not Applicable,Sometimes,It has offered a new chance for occasional dancing,Spanish class,0,0,0,0,0,0,0,,Unknown
WS071,West Seattle,01/01/2018,03/31/2018,Almost Never,Sometimes,Most of the time,Sometimes,Most of the time,Most of the time,Sometimes,Almost Never,Sometimes,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,"Sr. Center is a wonderful multipurpose institution, many useful things in one location","Spanish language, computer center",0,0,0,0,0,1,0,98116,Moderate
WS072,West Seattle,01/01/2018,03/31/2018,,,,,,,,,,,Most of the time,,,Most of the time,"Not presently a member, have been taking Spanish here for 2 months, not long enough to answer",,0,0,0,0,0,1,0,98118,Moderate
WS073,West Seattle,01/01/2018,03/31/2018,Sometimes,Sometimes,Most of the time,Most of the time,Most of the time,Sometimes,Most of the time,Almost Never,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,,Spanish,0,0,0,0,1,0,0,98116,Above Moderate
WS074,West Seattle,01/01/2018,03/31/2018,Most of the time,Most of the time,Not Applicable,Sometimes,Not Applicable,Most of the time,Most of the time,Not Applicable,Not Applicable,Most of the time,Most of the time,Not Applicable,Not Applicable,Most of the time,I am a volunteer in the kitchen and it makes me feel better to elp out in a positive atmosphere,Spanish classes and events,0,0,0,0,0,1,0,98104,Above Moderate
WS075,West Seattle,01/01/2018,03/31/2018,Not Applicable,Sometimes,Not Applicable,Not Applicable,Not Applicable,Sometimes,Almost Never,Almost Never,Not Applicable,Sometimes,Sometimes,Sometimes,Not Applicable,Most of the time,,Conversational Spanish,0,0,0,0,0,1,0,98136,Unknown
WS076,West Seattle,01/01/2018,03/31/2018,,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,"Since I recently moved from living in Ballard for 25 years, coming to the Sr. Ctr has made the change far more pleasant.","Yoga, aging well, Spanish",0,0,0,0,0,1,0,98116,Very Low
WS077,West Seattle,01/01/2018,03/31/2018,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Most of the time,It has given me opportunities to learn,Spanish language class,0,0,0,0,0,1,0,98116,Unknown
WS078,West Seattle,01/01/2018,03/31/2018,Not Applicable,Sometimes,Not Applicable,Not Applicable,Not Applicable,Sometimes,Almost Never,Not Applicable,Not Applicable,Sometimes,Most of the time,Almost Never,Sometimes,Sometimes,"Improvign my Spanish, meeting good",Spanish conversation class,0,0,0,0,0,1,0,98126,Unknown
WS079,West Seattle,01/01/2018,03/31/2018,Most of the time,Sometimes,Almost Never,Sometimes,Most of the time,Most of the time,Most of the time,Most of the time,,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,,"Volunteering, Bingo",0,0,0,0,0,1,0,98116,Above Moderate
WS080,West Seattle,01/01/2018,03/31/2018,Almost Never,Almost Never,Most of the time,Most of the time,Most of the time,Most of the time,Sometimes,Sometimes,Sometimes,Most of the time,Most of the time,,,Most of the time,,,0,0,0,0,0,1,0,98166,Moderate
WS081,West Seattle,01/01/2018,03/31/2018,Most of the time,Most of the time,Sometimes,Not Applicable,Sometimes,Most of the time,Not Applicable,Sometimes,Sometimes,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,"Met fab people, discovered new volunteer opportunities","LGBT 2nd thursday out, Bingo, Bridge",0,0,0,0,0,1,0,98126,Above Moderate
WS082,West Seattle,01/01/2018,03/31/2018,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Most of the time,Most of the time,Most of the time,Sometimes,Most of the time,adds a new dimension to my retired life,"Lunches, special events, Rainbow Bingo, pinochle",0,0,0,0,0,1,0,98106,Low
WS083,West Seattle,01/01/2018,03/31/2018,Sometimes,Sometimes,Most of the time,Not Applicable,Not Applicable,Most of the time,Not Applicable,Not Applicable,Not Applicable,Most of the time,Sometimes,Sometimes,Not Applicable,Most of the time,,"LGBT Night, Bingo, fundraisers, weight watchers",0,0,0,0,0,1,0,98126,Above Moderate
WS084,West Seattle,01/01/2018,03/31/2018,Almost Never,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Most of the time,Sometimes,Sometimes,Sometimes,Most of the time,,LGBT night out,0,0,0,0,0,1,0,98116,Above Moderate
